"";"test";"sample_size";"correlation";"type";"issue";"n";"rel_freq"
"1";"CON_PHI";1000;0;"mild";1;1;5,20833333333333e-05
"2";"FL";1000;0;"mild";1;1;5,20833333333333e-05
"3";"HTMT_2";100;1;"mild";1;1;5,20833333333333e-05
"4";"HTMT_2";200;0,7;"mild";1;1;5,20833333333333e-05
"6";"HTMT_2";1000;0,3;"mild";1;1;5,20833333333333e-05
"7";"MGA";100;0,7;"harsh";1;1;5,20833333333333e-05
"9";"CON_PHI";200;0,7;"mild";1;9;0,00046875
"10";"FL";200;0,7;"mild";1;9;0,00046875
"11";"CON_PHI";200;0,7;"harsh";1;10;0,000520833333333333
"12";"FL";200;0,7;"harsh";1;10;0,000520833333333333
"13";"HTMT_COR";200;0,3;"harsh";1;10;0,000520833333333333
"14";"HTMT_COR";200;0,7;"harsh";1;15;0,00078125
"15";"MGA";50;0,3;"harsh";1;16;0,000833333333333333
"16";"HTMT_COR";200;0;"harsh";1;17;0,000885416666666667
"17";"HTMT_COR";200;1;"harsh";1;17;0,000885416666666667
"18";"MGA";50;0,7;"harsh";1;18;0,0009375
"19";"MGA";50;0,3;"mild";1;22;0,00114583333333333
"20";"MGA";50;0;"mild";1;23;0,00119791666666667
"21";"MGA";50;1;"harsh";1;25;0,00130208333333333
"22";"MGA";50;0;"harsh";1;33;0,00171875
"23";"MGA";50;0,7;"mild";1;38;0,00197916666666667
"24";"MGA";50;1;"mild";1;38;0,00197916666666667
"27";"HTMT_2";100;0,7;"mild";1;56;0,00291666666666667
"28";"HTMT_2";50;1;"mild";1;83;0,00432291666666667
"29";"HTMT_COR";100;0,7;"harsh";1;145;0,00755208333333333
"30";"HTMT_COR";100;0,3;"harsh";1;148;0,00770833333333333
"31";"HTMT_COR";100;0;"harsh";1;150;0,0078125
"32";"HTMT_COR";100;1;"harsh";1;168;0,00875
"33";"HTMT_COV";200;0,3;"harsh";1;212;0,0110416666666667
"34";"HTMT_COV";200;0,7;"harsh";1;214;0,0111458333333333
"35";"HTMT_COV";200;0;"harsh";1;217;0,0113020833333333
"36";"HTMT_COV";200;1;"harsh";1;223;0,0116145833333333
"37";"CON_PHI";200;0,3;"mild";1;235;0,0122395833333333
"38";"FL";200;0,3;"mild";1;235;0,0122395833333333
"39";"CON_PHI";100;0,7;"harsh";1;238;0,0123958333333333
"40";"FL";100;0,7;"harsh";1;238;0,0123958333333333
"41";"CON_PHI";200;0,3;"harsh";1;246;0,0128125
"42";"FL";200;0,3;"harsh";1;246;0,0128125
"43";"CON_PHI";100;0,7;"mild";1;249;0,01296875
"44";"FL";100;0,7;"mild";1;249;0,01296875
"45";"CON_PHI";200;0;"harsh";1;350;0,0182291666666667
"46";"FL";200;0;"harsh";1;350;0,0182291666666667
"47";"FL";200;0;"mild";1;391;0,0203645833333333
"48";"CON_PHI";200;0;"mild";1;393;0,02046875
"50";"HTMT_2";50;0,7;"mild";1;572;0,0297916666666667
"51";"HTMT_COR";50;0,7;"harsh";1;594;0,0309375
